journal,aims_and_scope,article_type,word_page_limits,abstract_requirements,manuscript_structure,reference_style,figure_table_limits,data_code_rules,open_access_apc,fit_score_1_10,risk_score_1_10,reasons_for,reasons_against,official_guideline_url,date_accessed
PLOS ONE,"Broad original research, methods, software, databases and tools if rigorous, useful, validated, and available",Research Article,No fixed word limit found on official checked pages; authors should be concise,Abstract required; exact structure not extracted from checked page,Standard research article; LaTeX template available,PLOS style / numbered references,No fixed limit found on checked page,Data needed to replicate findings must be publicly available; code/materials expected where relevant,"Open access; APC applies, amount not recorded here",9,4,"Broad scope, accepts rigorous methods and public-data research, LaTeX support, reproducibility fit",Less specialist healthcare informatics readership than JAMIA Open/JBI,https://journals.plos.org/plosone/s/submission-guidelines,2026-05-24
JAMIA Open,"Biomedical and health informatics, data science, implementation science",Research and Applications,Up to 4000 words for Research and Applications on checked page,Abstract required; lay summary at revision per checked page,Journal instructions; Word document submission noted,Journal/Oxford style; details on official page,Supplemental materials allowed; exact limits not extracted,Data statement required and deposit process described,Gold open access; amount not recorded here,8,6,Strong informatics fit and open access,Short word limit and Word-first workflow less aligned with requested LaTeX package,https://academic.oup.com/jamiaopen/pages/General_Instructions,2026-05-24
Journal of Biomedical Informatics,Biomedical informatics research,Original research / methods,Unavailable on checked snippet,Unavailable on checked snippet,Elsevier guide for authors,Elsevier style,Unavailable on checked snippet,Elsevier data/funding declarations expected,Hybrid/open access options; amount not recorded,7,7,Excellent biomedical NLP audience,May expect stronger novelty than a CPU benchmark,https://www.sciencedirect.com/journal/journal-of-biomedical-informatics/publish/guide-for-authors,2026-05-24
BMC Medical Informatics and Decision Making,Health information technology and decision-making research,Research article,Unavailable on checked page,Research article format on official page,BMC research article structure,BMC/Vancouver-like,Unavailable on checked page,Strongly encourages data availability; public repository mandatory where community expectation exists,Open access; amount not recorded,8,5,Good methodological health informatics fit,May prefer direct decision-making application,https://bmcmedinformdecismak.biomedcentral.com/submission-guidelines/preparing-your-manuscript/research-article,2026-05-24
Scientific Reports,Original research across natural sciences and medicine,Article,No fixed word limit found in checked page,Abstract required,Article or Registered Report; data availability statement required,Nature style,Unavailable on checked page,Data availability statement required,Open access; amount not recorded,6,7,Broad and accepts computational research,Benchmark may need broader novelty,https://www.nature.com/srep/author-instructions/submission-guidelines,2026-05-24
Frontiers in Digital Health,Digital health and health technology,Original Research / Technology and Code,Article-type pages provide limits for some types; exact Original Research limit not extracted,Frontiers author guidelines,Frontiers article type templates,Frontiers style,Unavailable on checked page,Data availability statement required by Frontiers policies,APC applies,7,6,Digital health and technology fit,Less targeted to biomedical NLP methods,https://www.frontiersin.org/journals/digital-health/about,2026-05-24
Frontiers in Artificial Intelligence,AI research including machine learning and AI applications,Original Research / Technology and Code,Authors directed to article-type word counts; exact limit not extracted,Frontiers author guidelines,Frontiers article type templates,Frontiers style,Unavailable on checked page,Data availability statement required by Frontiers policies,APC applies,6,7,AI methods fit,Healthcare specificity weaker,https://www.frontiersin.org/journals/artificial-intelligence/about,2026-05-24
IEEE Access,Multidisciplinary engineering and technology research,Original research article,No page limit per official checked page,IEEE style,IEEE template,IEEE numbered,No page limit; exact display limits not applicable,IEEE author policies; exact data rule not extracted,APC applies; no overlength article charge per checked page,5,6,CPU benchmark and engineering angle,Less biomedical-specialist readership,https://ieeeaccess.ieee.org/guide-for-authors/submission-guidelines/,2026-05-24
Computer Methods and Programs in Biomedicine,Computing methods and software systems in biomedical research and practice,Original research / methods,Unavailable on checked page,Elsevier guide for authors,Elsevier guide for authors,Elsevier style,Unavailable on checked page,Elsevier declarations expected,Hybrid/open access options; amount not recorded,7,7,Computational biomedical methods fit,May expect software innovation beyond benchmark,https://www.sciencedirect.com/journal/computer-methods-and-programs-in-biomedicine,2026-05-24
Artificial Intelligence in Medicine,Theory and practice of AI in medicine and healthcare,Original research,Unavailable on checked page,Elsevier guide for authors,Elsevier guide for authors,Elsevier style,Unavailable on checked page,Elsevier declarations expected,Hybrid/open access options; amount not recorded,6,8,AI in medicine scope,Likely novelty bar above a lightweight benchmark,https://www.sciencedirect.com/journal/artificial-intelligence-in-medicine/about/insights,2026-05-24
Healthcare Informatics Research,Healthcare informatics research,Original article,Official author page includes word limits by type; exact original article value not extracted in this run,Author page provides abstract requirements by type,Author instructions,Journal style,Unavailable on checked page,Reporting guideline encouragement noted,Unavailable on checked page,6,6,Healthcare informatics scope,Less obvious fit for biomedical abstract NLP benchmark,https://e-hir.org/authors/authors.php,2026-05-24
JMIR Medical Informatics,Medical informatics and health technology research,Original Paper,Exact word limit not extracted; article type guidance referenced on checked page,IMRD-style original research format,"Title, Abstract, Keywords, Introduction, Methods, Results, Discussion, etc.",JMIR style,Unavailable on checked page,Data availability statement required for original research data,APC applies; amount not recorded,7,6,Medical informatics readership,May prefer direct health-system implementation or user-facing relevance,https://medinform.jmir.org/author-information/instructions-for-authors,2026-05-24
Applied Clinical Informatics,Applied clinical informatics,Research Article,Author PDF has article-type table; exact values not extracted in this run,Structured abstract details in PDF,Thieme author instructions,Journal style,In author PDF; exact values not extracted,Ethics and reporting expectations,Unavailable on checked page,5,7,Clinical informatics audience,"Project is literature NLP, not deployed clinical informatics",https://www.thieme.com/media/ita/ACI_Instructions_to_Authors.pdf,2026-05-24
